Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
Swasti Vinayaka Synthetics Ltd,SWASTIVI,510245,Equity,Active,X ,1,INE804A01025,Swasti Vinayaka Synthetics Ltd.
Madhusudan Securities Ltd,MADHUSE,511000,Equity,Active,X ,10,INE856D01011,Madhusudan Securities Ltd
Yamini Investments Company Ltd,YAMNINV,511012,Equity,Active,XT,1,INE457N01025,Yamini Investments Company Limited
Premier Capital Services Ltd,PREMCAP,511016,Equity,Active,XT,1,INE946K01023,Premier Capital Services Ltd.
Milgrey Finance & Investments Ltd,ZMILGFIN,511018,Equity,Active,X ,10,INE679T01013,MILGREY FINANCE & INVESTMENT LTD
Jindal Drilling & Industries Ltd,JINDRILL,511034,Equity,Active,B ,5,INE742C01031,Jindal Drilling & Industries Ltd.
Arco Leasing Ltd,ZARCOLEA,511038,Equity,Active,X ,10,INE955S01019,Arco Leasing Ltd.
Kusam Electrical Industries Ltd,KUSUMEL,511048,Equity,Active,XT,10,INE175Q01018,Kusam Electrical Industies Ltd.
Jumbo Finance Ltd,JUMBFNL,511060,Equity,Active,XT,10,INE122N01017,Jumbo Finance Ltd.
Sakthi Finance Ltd,SAKTHIFIN,511066,Equity,Active,X ,10,INE302E01014,Sakthi Finance Ltd.
Easy Fincorp Ltd,EASYFIN,511074,Equity,Active,Z ,10,INE407F01018,EASY FINCORP LIMITED
Aeroflex Enterprises Ltd,AEROENTER,511076,Equity,Active,B ,2,INE065D01027,AEROFLEX ENTERPRISES LIMITED
JMD Ventures Ltd,JMDVL,511092,Equity,Active,X ,10,INE047E01031,JMD Ventures Limited
Tivoli Construction Ltd,TVOLCON,511096,Equity,Active,XT,10,INE747V01014,Tivoli Construction Ltd.
Shiva Texyarn Ltd,SHIVATEX,511108,Equity,Active,B ,10,INE705C01020,Shiva Texyarn Ltd.
V B Desai Financial Services Ltd,VBDESAI,511110,Equity,Active,X ,10,INE848D01018,V.B.Desai Financial Services Ltd
Quadrant Televentures Ltd,QUADRANT,511116,Equity,Active,XT,1,INE527B01020,Quadrant Televentures Limited
First Custodian Fund India Ltd,1STCUS,511122,Equity,Active,X ,10,INE609B01018,First Custodian Fund (India) Ltd.
Kamanwala Housing Construction Ltd,KAMANWALA,511131,Equity,Active,X ,10,INE344D01018,Kamanwala Housing Construction Ltd
Axis Solutions Ltd,AXISOL,511144,Equity,Active,XT,10,INE520G01024,AXIS SOLUTIONS LIMITED
WSFx Global Pay Ltd,WSFX,511147,Equity,Active,X ,10,INE549D01012,WSFX Global Pay Limited
Anjani Foods Ltd,ANJANIFOODS,511153,Equity,Active,X ,2,INE096I01021,Anjani Foods Limited
RKD Agri & Retail Ltd,RKDAGRRTL,511169,Equity,Active,X ,1,INE552N01023,RKD AGRI & RETAIL LIMITED
Parshwanath Corporation Ltd,PARSHWANA,511176,Equity,Active,XT,10,INE635I01018,Parshwanath Corporation Limited
Rajvi Logitrade Ltd,RAJVI,511185,Equity,Active,X ,10,INE381N01019,RAJVI LOGITRADE LIMITED
Millennium Online Solutions ( India ) Ltd,MILLENNIUM,511187,Equity,Active,X ,1,INE570N01025,Millennium Online Solutions (India) Ltd
ICDS Ltd,ICDSLTD,511194,Equity,Active,T ,10,INE613B01010,ICDS Ltd.
Can Fin Homes Ltd,CANFINHOME,511196,Equity,Active,A ,2,INE477A01020,Can Fin Homes Ltd.
Munoth Capital Markets Ltd,MUNCAPM,511200,Equity,Active,XT,5,INE910G01027,Munoth Capital Market Ltd
IL&FS Investment Managers Ltd,IVC,511208,Equity,Active,B ,2,INE050B01023,IL & FS Investment Managers Ltd.
Shriram Finance Ltd,SHRIRAMFIN,511218,Equity,Active,A ,2,INE721A01047,Shriram Finance Limited
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,511243,Equity,Active,A ,2,INE121A01024,Cholamandalam Investment and Finance Company Ltd
Bombay Talkies Ltd,BOMTALKIES,511246,Equity,Active,X ,1,INE910D01024,BOMBAY TALKIES LIMITED
Sagar Systech Ltd,SAGARSYST,511254,Equity,Active,XT,10,INE771Z01015,Sagar Systech Ltd.
Iconik Sports And Events Ltd,ICONIKSPEV,511260,Equity,Active,X ,10,INE088P01015,ICONIK SPORTS AND EVENTS LIMITED
VLS Finance Ltd,VLSFINANCE,511333,Equity,Active,B ,10,INE709A01018,VLS Finance Limited
India Cements Capital Ltd,INDCEMCAP,511355,Equity,Active,X ,10,INE429D01017,India Cements Capital Limited
Ad-Manum Finance Ltd,ADMANUM,511359,Equity,Active,X ,10,INE556D01017,AD-Manum Finance Ltd
Mehta Integrated Finance Ltd,MEHIF,511377,Equity,Active,X ,10,INE240B01012,Mehta Integrated Finance Ltd.
Inter Globe Finance Ltd,INTRGLB,511391,Equity,Active,X ,10,INE661M01016,Inter Globe Finance Ltd.
Munoth Communication Ltd,MCLTD,511401,Equity,Active,X ,10,INE410E01015,MUNOTH COMMUNICATION LIMITED
Shristi Infrastructure Development Corporation Ltd,SHRISTI,511411,Equity,Active,X ,10,INE472C01027,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.
Crest Ventures Ltd,CREST,511413,Equity,Active,B ,10,INE559D01011,CREST VENTURES LIMITED
Vakrangee Ltd,VAKRANGEE,511431,Equity,Active,B ,1,INE051B01021,Vakrangee Limited
Gujarat Credit Corporation Ltd,GUJCRED,511441,Equity,Active,X ,10,INE034B01019,Gujarat Credit Corporation Ltd.
Sylph Industries Ltd,SYLPH,511447,Equity,Active,XT,1,INE706F01021,Sylph Industries Limited
Dharani Finance Ltd,DHARFIN,511451,Equity,Active,X ,10,INE899D01011,Dharani Finance Ltd.
Alexander Stamps And Coin Ltd,ALEXANDER,511463,Equity,Active,X ,10,INE191N01012,Alexander Stamps And Coin Limited
Indbank Merchant Banking Services Ltd,INDBANK,511473,Equity,Active,B ,10,INE841B01017,Indbank Merchant Banking Services L
Shrydus Industries Ltd,SHRYDUS,511493,Equity,Active,X ,10,INE488C01015,SHRYDUS INDUSTRIES LIMITED
Bharat Bhushan Finance & Commodity Brokers Ltd,BHARAT,511501,Equity,Active,X ,10,INE900A01013,BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LIMITED
Capital Trust Ltd,CAPTRUST,511505,Equity,Active,T ,10,INE707C01018,Capital Trust Ltd.
Ushakiran Finance Ltd,USHAKIRA,511507,Equity,Active,X ,10,INE697C01011,Ushakiran Finance Ltd.
Vivo Bio Tech Ltd,VIVOBIOT,511509,Equity,Active,X ,10,INE380K01017,Vivo Bio tech Ltd.
Veerhealth Care Ltd,VEERHEALTH,511523,Equity,Active,X ,10,INE882C01035,Veerhealth Care Limited
Pan India Corporation Ltd,PANINDIAC,511525,Equity,Active,X ,10,INE376A01032,Pan India Corporation Ltd
Sahara Housingfina Corporation Ltd,SAHARAHOUS,511533,Equity,Active,X ,10,INE135C01012,Sahara HousingFina Corporation Ltd.
NDA Securities Ltd,NDASEC,511535,Equity,Active,XT,10,INE026C01013,NDA Securities ltd.
Supra Trends Ltd,SUPRATRE,511539,Equity,Active,X ,10,INE533B01028,Supra Trends Limited
GSB Finance Ltd,GSBFIN,511543,Equity,Active,X ,10,INE777C01011,GSB Finance Ltd.
Morarka Finance Ltd,MORARKFI,511549,Equity,Active,X ,10,INE367A01015,Morarka Finance Ltd.
Monarch Networth Capital Ltd,MONARCH,511551,Equity,Active,B ,10,INE903D01011,Monarch Networth Capital Limited
Pro Fin Capital Services Ltd,PROFINC,511557,Equity,Active,X ,1,INE732K01027,Pro Fin Capital Services Ltd
Team India Guaranty Ltd,TEAMGTY,511559,Equity,Active,B ,10,INE289C01025,TEAM INDIA GUARANTY LIMITED
Sanchay Finvest Ltd,SANCF,511563,Equity,Active,Z ,10,INE654D01010,Sanchay Finvest Ltd
Crescentis Capital Ltd,CRESCENTIS,511571,Equity,Active,X ,10,INE754C01010,Crescentis Capital Limited
Mantra Capital Ltd,MANTRA,511577,Equity,Active,X ,10,INE304E01010,Mantra Capital Limited
Befound Movement Ltd,BEFOUNDMOL,511585,Equity,Active,X ,1,INE425F01028,BEFOUND MOVEMENT LIMITED
Avonmore Capital & Management Services Ltd,AVONMORE,511589,Equity,Active,B ,1,INE323B01024,Avonmore Capital & Management Services Limited
Libord Finance Ltd,LIBORDFIN,511593,Equity,Active,X ,10,INE212B01011,Libord Finance Limited
Yash Management & Satellite Ltd,YASHMGM,511601,Equity,Active,X ,10,INE216B01012,Yash Management & Satellite Ltd.
Arihant Capital Markets Ltd,ARIHANTCAP,511605,Equity,Active,B ,1,INE420B01036,Arihant Capital Markets Ltd.
ISL Consulting Ltd,ISLCONSUL,511609,Equity,Active,X ,5,INE569B01022,ISL Consulting Ltd
DCM Financial Services Ltd,DCMFINSERV,511611,Equity,Active,T ,10,INE891B01012,DCM Financial Services Ltd.
RR Financial Consultants Ltd,RRFIN,511626,Equity,Active,X ,10,INE229D01011,R.R.Financial Consultants Ltd.
Fedders Holding Ltd,FEDDERSHOL,511628,Equity,Active,B ,1,INE417D01020,FEDDERS HOLDING LIMITED
Sambhaav Media Ltd,SAMBHAAV,511630,Equity,Active,B ,1,INE699B01027,Sambhaav Media Ltd.
Olympic Management & Financial Services Ltd,OLYMTFI,511632,Equity,Active,X ,10,INE091N01014,Olympic Management & Financial Serv
Axentra Corp Ltd,AXENTRA,511634,Equity,Active,XT,10,INE919M01026,AXENTRA CORP LIMITED
DJS Stock & Shares Ltd,DJSSS,511636,Equity,Active,X ,1,INE234E01027,DJS Stock & Shares Ltd.
Omega Interactive Technologies Ltd,OMEGAIN,511644,Equity,Active,XT,1,INE113B01037,Omega Interactive Technologies Ltd.
Sugal & Damani Share Brokers Ltd,SUGALDAM,511654,Equity,Active,X ,10,INE309D01011,Sugal & Damani Share Brokers Ltd.
Nettlinx Ltd,NETTLINX,511658,Equity,Active,X ,10,INE027D01019,Nettlinx Ltd.
Premium Capital Market & Investments Ltd,PREMCAPM,511660,Equity,Active,XT,10,INE555D01019,Premium Capital Market & Investment
BGIL Films & Technologies Ltd,BGIL,511664,Equity,Active,X ,10,INE443D01018,BGIL Films & Technologies Ltd
Scan Steels Ltd,SCANSTL,511672,Equity,Active,X ,10,INE099G01011,Scan Steels Limited
GIC Housing Finance Ltd,GICHSGFIN,511676,Equity,Active,B ,10,INE289B01019,GIC Housing Finance Ltd.
Mathew Easow Research Securities Ltd,MATHEWE,511688,Equity,Active,XT,10,INE963B01019,Mathew Easow Research Securities Lt
Ajcon Global Services Ltd,AJCON,511692,Equity,Active,X ,1,INE759C01027,Ajcon Global Services Ltd.
Chartered Capital & Investment Ltd,CHRTEDCA,511696,Equity,Active,X ,10,INE953B01010,Chartered Capital & Investment Ltd.
Standard Capital Markets Ltd,STANCAP,511700,Equity,Active,X ,1,INE625D01028,Standard Capital Markets Ltd.
YOGI Ltd,YOGI,511702,Equity,Active,X ,10,INE290E01011,YOGI LIMITED
Cubical Financial Services Ltd,CUBIFIN,511710,Equity,Active,X ,2,INE717D01023,Cubical Financial Services Ltd.
Relic Technologies Ltd,RELICTEC,511712,Equity,Active,X ,10,INE452B01013,Relic Technologies Ltd.
Nimbus Projects Ltd,NIMBSPROJ,511714,Equity,Active,X ,10,INE875B01015,Nimbus Projects Limited
Invigorated Business Consulting Ltd,INVIGO,511716,Equity,Active,X ,10,INE359A01012,Invigorated Business Consulting Limited
Baid Finserv Ltd,BAIDFIN,511724,Equity,Active,B ,2,INE020D01022,BAID FINSERV LIMITED
Vipul Ltd,VIPULLTD,511726,Equity,Active,T ,1,INE946H01037,Vipul Limited
KZ Leasing & Finance Ltd,KZLFIN,511728,Equity,Active,XT,10,INE006C01015,K.Z.Leasing & Finance Ltd.
Avasara Finance Ltd,AVASARA,511730,Equity,Active,XT,10,INE759D01017,Avasara Finance Limited
Pasupati Fincap Ltd,PASUFIN,511734,Equity,Active,XT,10,INE527C01010,Pasupati Fincap Ltd.
Mehta Securities Ltd,MEHSECU,511738,Equity,Active,X ,10,INE241B01010,Mehta Securities Ltd.
Ruparel Food Products Ltd,RFL,511740,Equity,Active,X ,10,INE239B01014,RUPAREL FOOD PRODUCTS LIMITED
Ugro Capital Ltd,UGROCAP,511742,Equity,Active,B ,10,INE583D01011,UGRO CAPITAL LIMITED
Shalibhadra Finance Ltd,SAHLIBHFI,511754,Equity,Active,X ,10,INE861D01011,Shalibhadra Finance Ltd.
Abirami Financial Services India Ltd,ABIRAFN,511756,Equity,Active,Z ,10,INE195I01013,Abirami Financial Services (India)
Mansi Finance (Chennai) Ltd,MANSIFIN,511758,Equity,Active,X ,10,INE094E01017,Mansi Finance (Chennai) Ltd
Aastamangalam Finance Ltd,AASTAFIN,511764,Equity,Active,X ,10,INE819K01014,Aastamangalam Finance Limited
Muthoot Capital Services Ltd,MUTHOOTCAP,511766,Equity,Active,B ,10,INE296G01013,Muthoot Capital Services Ltd.
Master Trust Ltd,MASTERTR,511768,Equity,Active,B ,1,INE677D01037,Master Trust Ltd.
Nilkanth Engineering Ltd,ZNILKENG,512004,Equity,Active,P ,10,INE582V01015,Nilkanth Engineering Ltd.
EFC (I) Ltd,EFCIL,512008,Equity,Active,B ,2,INE886D01026,EFC (I) LIMITED
Sobhagya Mercantile Ltd,SOBME,512014,Equity,Active,X ,10,INE754D01018,Sobhagya Mercantile Ltd.
Tomorrow Technologies Global Innovations Ltd,TTGIL,512018,Equity,Active,X ,1,INE135H01029,TOMORROW TECHNOLOGIES GLOBAL INNOVATIONS LIMITED
Saraswati Commercial India Ltd,ZSARACOM,512020,Equity,Active,B ,10,INE967G01019,Saraswati Commercial (India) Ltd.
Winro Commercial India Ltd,WINROC,512022,Equity,Active,XT,10,INE837E01019,Winro Commercial (India) Ltd.
ND Metal Industries Ltd,NDMETAL,512024,Equity,Active,XT,10,INE643D01013,N.D.Metal Industries Ltd
Banganga Paper Industries Ltd,BANGANGA,512025,Equity,Active,X ,1,INE767M01029,BANGANGA PAPER INDUSTRIES LIMITED
Vega Jewellers Ltd,VEGA,512026,Equity,Active,XT,10,INE603D01017,VEGA JEWELLERS LIMITED
Skybiotech Healthcare Ltd,SKYBIOTECH,512036,Equity,Active,XT,10,INE393H01016,SKYBIOTECH HEALTHCARE LIMITED
TCC Concept Ltd,TCC,512038,Equity,Active,B ,10,INE887D01016,TCC CONCEPT LIMITED
Royal India Corporation Ltd,ROYALIND,512047,Equity,Active,X ,10,INE510H01015,Royal India Corporation Limited
Dhansafal Finserve Ltd,DHANSAFAL,512048,Equity,Active,X ,1,INE195E01020,DHANSAFAL FINSERVE LIMITED
Ventura Guaranty Ltd,SHYAM,512060,Equity,Active,P ,10,INE139J01019,Ventura Guaranty Ltd.
Sanmitra Commercial Ltd,ZSANMCOM,512062,Equity,Active,XT,10,INE896J01014,Sanmitra Commercial Ltd.
Wardwizard Healthcare Ltd,WARDHEALTH,512063,Equity,Active,P ,10,INE048E01013,WARDWIZARD HEALTHCARE LIMITED
Vishvprabha Ventures Ltd,VISVEN,512064,Equity,Active,X ,10,INE762D01011,VISHVPRABHA VENTURES LIMITED
Mrugesh Trading Ltd,MRUTR,512065,Equity,Active,XT,1,INE738D01029,Mrugesh Trading Ltd.
Deccan Gold Mines Ltd,DECNGOLD,512068,Equity,Active,B ,1,INE945F01025,Deccan Gold Mines Ltd.
UPL Ltd,UPL,512070,Equity,Active,A ,2,INE628A01036,UPL Limited
Nibe Ordnance and Maritime Ltd,NIBEORD,512091,Equity,Active,XT,10,INE425H01016,Nibe Ordnance and Maritime Limited
Cranes Software International Ltd,CRANESSOFT,512093,Equity,Active,Z ,2,INE234B01023,Cranes Software International Ltd.
Saianand Commercial Ltd,SAICOM,512097,Equity,Active,X ,1,INE092G01024,Saianand Commercial Limited
Eyantra Ventures Ltd,EY,512099,Equity,Active,XT,10,INE750G01019,EYANTRA VENTURES LIMITED
Triochem Products Ltd,TRIPR,512101,Equity,Active,XT,10,INE331E01013,Triochem Products Ltd.
Nidhi Granites Ltd,NIDHGRN,512103,Equity,Active,X ,10,INE276H01013,Nidhi Granites Limited
Aviva Industries Ltd,AVIVA,512109,Equity,Active,X ,10,INE461H01011,Aviva Industries Limited
Rose Merc Ltd,ROSEMER,512115,Equity,Active,X ,10,INE649C01012,Rose Merc.Limited
Twin Roses Trades & Agencies Ltd,TWIROST,512117,Equity,Active,XT,10,INE436U01016,Twin Roses Trades & Agencies Ltd.
Signet Industries Ltd,SIGIND,512131,Equity,Active,B ,10,INE529F01035,Signet Industries Limited
Kajal Synthetics & Silk Mills Ltd,KAJALSY,512147,Equity,Active,XT,10,INE956V01011,Kajal Synthetics and Silk Mills Ltd
Avance Technologies Ltd,AVANCE,512149,Equity,Active,XT,1,INE758A01072,Avance Technologies Ltd.
M Lakhamsi Industries Ltd,MLINDLTD,512153,Equity,Active,XT,10,INE808W01012,M LAKHAMSI INDUSTRIES LIMITED
Terraform Realstate Ltd,TERRAREAL,512157,Equity,Active,P ,10,INE123V01018,Terraform Realstate Limited
Securekloud Technologies Ltd,SECURKLOUD,512161,Equity,Active,B ,5,INE650K01021,SECUREKLOUD TECHNOLOGIES LIMITED
Abans Enterprises Ltd,ABANSENT,512165,Equity,Active,X ,2,INE365O01028,ABans Enterprises Limited
Capricorn Systems Global Solutions Ltd,CAPRICORN,512169,Equity,Active,XT,10,INE968E01012,Capricorn Systems Global Solutions Ltd.
Vama Industries Ltd,VAMA,512175,Equity,Active,X ,2,INE685D01022,Vama Industries Limited
Sunteck Realty Ltd,SUNTECK,512179,Equity,Active,A ,1,INE805D01034,Sunteck Realty Ltd
Bentley Commercial Enterprises Ltd,BENTCOM,512195,Equity,Active,P ,10,INE496M01017,Bentley Commercial Enterprises Ltd.
Silveroak Commercials Ltd,SILVERO,512197,Equity,Active,Z ,10,INE798C01017,Silver oak Commercial Ltd.
Classic Electricals Ltd,CLASELE,512213,Equity,Active,XT,10,INE02BR01017,Classic Electricals Ltd.
Prism Medico and Pharmacy Ltd,PRISMMEDI,512217,Equity,Active,X ,10,INE730E01016,Prism Medico and Pharmacy Ltd.
SPV Global Trading Ltd,SPVGLOBAL,512221,Equity,Active,XT,10,INE177E01010,SPV GLOBAL TRADING LIMITED
Veritas (India) Ltd,VERITAS,512229,Equity,Active,XT,1,INE379J01029,Veritas (India) Limited
Jaybharat Textiles and Real Estate Ltd,JAYTEX,512233,Equity,Active,Z ,2,INE091E01039,Jaybharat Textiles And Real Estate Limited
Jai Corp Ltd,JAICORPLTD,512237,Equity,Active,B ,1,INE070D01027,Jai Corp Limited
Nivi Trading Ltd,ZNIVITRD,512245,Equity,Active,P ,10,INE552F01011,Nivi Trading Ltd.
Ashirwad Capital Ltd,ASHCAP,512247,Equity,Active,X ,1,INE894A01026,Ashirwad Capital Ltd.
Swasti Vinayaka Art And Heritage Corporation Ltd,SVARTCORP,512257,Equity,Active,X ,1,INE895A01023,Swasti Vinayaka Art And Heritage Corporation Ltd
Bajaj Global Ltd,BAJGLOB,512261,Equity,Active,XT,10,INE553H01015,Bajaj Global Ltd
Avon Mercantile Ltd,AVONMERC,512265,Equity,Active,XT,10,INE471D01019,Avon Mercantile Ltd.
Media Matrix Worldwide Ltd,MMWL,512267,Equity,Active,B ,1,INE200D01020,Media Matrix Worldwide Ltd.
Tashi India Ltd,TASHIND,512271,Equity,Active,XT,10,INE552H01017,Tashi India Ltd.
Autoriders International Ltd,AUTOINT,512277,Equity,Active,XT,10,INE340U01010,Autoriders International Ltd
N2N Technologies Ltd,NNTL,512279,Equity,Active,Z ,10,INE043F01011,N2N Technologies Limited
Speedage Commercials Ltd,ZSPEEDCO,512291,Equity,Active,P ,10,INE497M01015,Speedage Commercials Ltd.
Bhagyanagar India Ltd,BHAGYANGR,512296,Equity,Active,B ,2,INE458B01036,Bhagyanagar India Limited
Shantai Industries Ltd,SHANTAI,512297,Equity,Active,XT,2,INE408F01024,Shantai Industries Limited
Chambal Breweries & Distilleries Ltd,CHMBBRW,512301,Equity,Active,XT,10,INE417N01011,Chambal Breweries & Distilleries Li
Mansoon Trading Company Ltd,ZMANSOON,512303,Equity,Active,P ,10,INE776V01013,Mansoon Trading Co. Ltd.
SG Mart Ltd,SGMART,512329,Equity,Active,B ,1,INE385F01024,SG MART LIMITED
Aravali Securities & Finance Ltd,ARAVALIS,512344,Equity,Active,XT,10,INE068C01015,Aravali Securities & Finance Ltd.
Yash Trading & Finance Ltd,YASTF,512345,Equity,Active,XT,10,INE745A01012,Yash Trading & Finance Ltd.
Cupid Breweries And Distilleries Ltd,CUPIDALBV,512361,Equity,Active,X ,10,INE108G01010,CUPID BREWERIES AND DISTILLERIES LIMITED
Sheraton Properties & Finance Ltd,ZSHERAPR,512367,Equity,Active,P ,10,INE495M01019,Sheraton Properties & Finance Ltd.
Magnanimous Trade & finance Ltd,MAGANTR,512377,Equity,Active,XT,10,INE664N01018,Magnanimous Trade & Finance Ltd.
Cressanda Railway Solutions Ltd,CRSL,512379,Equity,Active,X ,1,INE716D01033,CRESSANDA RAILWAY SOLUTIONS LIMITED
Starteck Finance Ltd,STARTECK,512381,Equity,Active,B ,10,INE992I01013,STARTECK FINANCE LIMITED
Shardul Securities Ltd,SHARDUL,512393,Equity,Active,X ,2,INE037B01020,Shardul Securities Ltd.
Sera Investments & Finance India Ltd,SERA,512399,Equity,Active,X ,2,INE017I01027,SERA INVESTMENTS & FINANCE INDIA LIMITED
Bengal Steel Industries Ltd,BENGALS,512404,Equity,Active,P ,10,INE523W01017,Bengal Steel Industries Ltd.
I-Power Solutions India Ltd,IPOWER,512405,Equity,Active,XT,10,INE468F01010,i Power Solutions India Ltd.
Uniworth Securities Ltd,UNIWSEC,512408,Equity,Active,XT,10,INE728J01019,Uniworth Securities Limited
Mercury Trade Links Ltd,MERCTRD,512415,Equity,Active,X ,10,INE319T01016,Mercury Trade Links Ltd.
Nirav Commercials Ltd,NIRAVCOM,512425,Equity,Active,X ,10,INE242B01018,Nirav Commercials Ltd.
White Hall Commercial Company Ltd,WHITHAL,512431,Equity,Active,XT,10,INE416X01012,White Hall Commercial Co.Ltd.
Asutosh Enterprise Ltd,ASUTENT,512433,Equity,Active,P ,10,INE508W01018,Asutosh Enterprise Ltd.
Apollo Finvest India Ltd,APOLLOFI,512437,Equity,Active,X ,10,INE412D01013,Apollo Finvest (India) Ltd.
Esquire Money Guarantees Ltd,ESQRMON,512439,Equity,Active,XT,10,INE0HMN01013,Esquire Money Guarantees Ltd
Enbee Trade & Finance Ltd,ENBETRD,512441,Equity,Active,X ,1,INE993I01029,Enbee Trade & Finance Ltd.
Ganon Products Ltd,GANONPRO,512443,Equity,Active,XT,10,INE162L01017,Ganon Products Limited
Devinsu Trading Ltd,DEVITRD,512445,Equity,Active,XT,10,INE07LH01016,Devinsu Trading Ltd.
Shri Jagdamba Polymers Ltd,SHRJAGP,512453,Equity,Active,X ,1,INE564J01026,Shri Jagdamba Polymers Ltd
Lloyds Metals and Energy Ltd,LLOYDSME,512455,Equity,Active,A ,1,INE281B01032,Lloyds Metals and Energy Limited
Punctual Trading Ltd,PUNCTRD,512461,Equity,Active,P ,10,INE07NX01019,Punctual Trading Ltd.
Lloyds Enterprises Ltd,LLOYDSENT,512463,Equity,Active,A ,1,INE080I01025,LLOYDS ENTERPRISES LIMITED
Betex India Ltd,BETXIND,512477,Equity,Active,XT,10,INE765L01017,Betex India Ltd.
Virya Resources Ltd,VIRYA,512479,Equity,Active,XT,10,INE661K01010,VIRYA RESOURCES LIMITED
Polytex India Ltd,POLYTEX,512481,Equity,Active,XT,10,INE012F01016,Polytex India Ltd.
Dhanlaxmi Cotex Ltd,DHANCOT,512485,Equity,Active,X ,10,INE977F01010,Dhanlaxmi Cotex Ltd.
Oasis Securities Ltd,OASISEC,512489,Equity,Active,X ,1,INE876A01023,Oasis Securities Limited
Garnet International Ltd,GARNETINT,512493,Equity,Active,XT,10,INE590B01010,Garnet International Limited
Shalimar Productions Ltd,SHALPRO,512499,Equity,Active,X ,1,INE435E01020,Shalimar Productions Ltd.
Meenakshi Steel Industries Ltd,MEENST,512505,Equity,Active,Z ,10,INE721V01019,Meenakshi Steel Industries Ltd.
Varun Mercantile Ltd,VARUNME,512511,Equity,Active,XT,10,INE442U01014,Varun Mercantile Ltd.
Vinayak Vanijya Ltd,VINVANI,512517,Equity,Active,XT,10,INE132V01019,Vinayak Vanijya Ltd.
Donear Industries Ltd,DONEAR,512519,Equity,Active,B ,2,INE668D01028,Donear Industries Ltd
Super Sales India Ltd,SUPER,512527,Equity,Active,X ,10,INE091C01017,Super Sales India Ltd.
Viyash Scientific Ltd,VIYASH,512529,Equity,Active,B ,2,INE807F01027,VIYASH SCIENTIFIC LIMITED
State Trading Corporation of India Ltd,STCINDIA,512531,Equity,Active,B ,10,INE655A01013,State Trading Corporation of India
Zenith Exports Ltd,ZENITHEXPO,512553,Equity,Active,B ,10,INE058B01018,Zenith Exports Ltd.
Kohinoor Foods Ltd,KOHINOOR,512559,Equity,Active,B ,10,INE080B01012,Kohinoor Foods Ltd
Neelkanth Ltd,NEELKANTH,512565,Equity,Active,X ,10,INE581D01015,NEELKANTH LIMITED
Avanti Feeds Ltd,AVANTIFEED,512573,Equity,Active,A ,1,INE871C01038,Avanti Feeds ltd.
Zodiac-JRD-MKJ Ltd,ZODJRDMKJ,512587,Equity,Active,X ,10,INE077B01018,Zodiac-JRD-MKJ Ltd.
Sita Enterprises Ltd,SITAENT,512589,Equity,Active,X ,10,INE579D01019,Sita Enterprises LTD.
Pulsar International Ltd,PULSRIN,512591,Equity,Active,XT,1,INE183U01022,Pulsar International Limited
Manbro Industries Ltd,MANBRO,512595,Equity,Active,XT,1,INE348N01042,Manbro Industries Limited
Keynote Financial Services Ltd,KEYFINSERV,512597,Equity,Active,B ,10,INE681C01015,KEYNOTE FINANCIAL SERVICES LIMITED
Adani Enterprises Ltd,ADANIENT,512599,Equity,Active,A ,1,INE423A01024,Adani Enterprises Ltd.
Astal Laboratories Ltd,ASTALLTD,512600,Equity,Active,X ,10,INE307N01014,ASTAL LABORATORIES LIMITED
Haria Exports Ltd,HARIAEXPO,512604,Equity,Active,X ,10,INE772B01014,Haria Exports Ltd.
Bhandari Hosiery Exports Ltd,BHANDARI,512608,Equity,Active,B ,1,INE474E01029,Bhandari Hosiery Exports Ltd.
RLF Ltd,RLF,512618,Equity,Active,X ,10,INE629C01014,RLF Ltd.
Regent Enterprises Ltd,REGENTRP,512624,Equity,Active,X ,10,INE769D01016,Regent Enterprises Limited
Orbit Exports Ltd,ORBTEXP,512626,Equity,Active,B ,10,INE231G01010,Orbit Exports Ltd.
Savera Industries Ltd,SAVERA,512634,Equity,Active,X ,10,INE104E01014,Savera Industries Ltd.
Chrome Silicon Ltd,CHROME,513005,Equity,Active,X ,10,INE114E01013,Chrome Silicon Limited
Jeet Machine Tools Ltd,ZJEETMAC,513012,Equity,Active,XT,10,INE987E01012,Jeet Machine Tools Ltd.
Nava Ltd,NAVA,513023,Equity,Active,A ,1,INE725A01030,NAVA LIMITED
Hindusthan Udyog Ltd,ZHINUDYP,513039,Equity,Active,XT,10,INE582K01018,Hindusthan Udyog Ltd
Remi Edelstahl Tubulars Ltd,REMIEDEL,513043,Equity,Active,X ,10,INE158G01015,Remi Edelstahl Tubulars Limited
GS Auto International Ltd,GSAUTO,513059,Equity,Active,X ,5,INE736H01024,G.S. Auto International Ltd.
Trans Freight Containers Ltd,TRANSFRE,513063,Equity,Active,X ,10,INE360D01014,Trans-Freight Containers Ltd.
Shivalik Bimetal Controls Ltd,SBCL,513097,Equity,Active,B ,2,INE386D01027,Shivalik Bimetal Controls Ltd.
Gandhi Special Tubes Ltd,GANDHITUBE,513108,Equity,Active,B ,5,INE524B01027,Gandhi Special Tubes Ltd.
