Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
Dhampur Sugar Mills Ltd,DHAMPURSUG,500119,Equity,Active,B ,10,INE041A01016,Dhampur Sugar Mills Ltd.
Diamines & Chemicals Ltd,DIAMINESQ,500120,Equity,Active,B ,10,INE591D01014,Diamines & Chemicals Ltd.
Elantas Beck India Ltd,ELANTAS,500123,Equity,Active,B ,10,INE280B01018,Elantas Beck India Ltd
Dr Reddys Laboratories Ltd,DRREDDY,500124,Equity,Active,A ,1,INE089A01031,Dr. Reddy's Laboratories Ltd.
EID Parry India Ltd,EIDPARRY,500125,Equity,Active,A ,1,INE126A01031,E.I.D. Parry (India) Ltd.
Procter & Gamble Health Ltd,PGHL,500126,Equity,Active,A ,10,INE199A01012,PROCTER & GAMBLE HEALTH LIMITED
Electrosteel Castings Ltd,ELECTCAST,500128,Equity,Active,A ,1,INE086A01029,Electrosteel Castings Ltd.
Esab India Ltd,ESABINDIA,500133,Equity,Active,A ,10,INE284A01012,Esab India Ltd.
EPL Ltd,EPL,500135,Equity,Active,A ,2,INE255A01020,EPL LIMITED
Ester Industries Ltd,ESTER,500136,Equity,Active,B ,5,INE778B01029,Ester Industries Ltd.
FGP Ltd,FGP,500142,Equity,Active,X ,10,INE512A01016,FGP Ltd
PH Capital Ltd,PHCAP,500143,Equity,Active,XT,10,INE160F01013,P.H. Capital Ltd.
Finolex Cables Ltd,FINCABLES,500144,Equity,Active,A ,2,INE235A01022,Finolex Cables Ltd.
John Cockerill India Ltd,COCKERILL,500147,Equity,Active,B ,10,INE515A01019,JOHN COCKERILL INDIA LIMITED
Uflex Ltd,UFLEX,500148,Equity,Active,B ,10,INE516A01017,Uflex Limited
Foseco India Ltd,FOSECOIND,500150,Equity,Active,B ,10,INE519A01011,Foseco India Ltd
Golden Tobacco Ltd,GOLDENTOBC,500151,Equity,Active,Z ,10,INE973A01010,Golden Tobacco Ltd.
Ganesh Benzoplast Ltd,GANESHBE,500153,Equity,Active,B ,1,INE388A01029,Ganesh Benzoplast Ltd.
Metroglobal Ltd,METROGLOBL,500159,Equity,Active,X ,10,INE085D01033,Metroglobal Limited
GTL Ltd,GTL,500160,Equity,Active,B ,10,INE043A01012,GTL Ltd
Godfrey Phillips India Ltd,GODFRYPHLP,500163,Equity,Active,A ,2,INE260B01028,Godfrey Phillips India Ltd.
Godrej Industries Ltd,GODREJIND,500164,Equity,Active,A ,1,INE233A01035,Godrej Industries Ltd.
Kansai Nerolac Paints Ltd,KANSAINER,500165,Equity,Active,A ,1,INE531A01024,Kansai Nerolac Paints
Goodricke Group Ltd,GOODRICKE,500166,Equity,Active,X ,10,INE300A01016,Goodricke Group Ltd.
Goodyear India Ltd,GOODYEAR,500168,Equity,Active,B ,10,INE533A01012,Goodyear India Ltd.
GTN Industries Ltd,GTNINDS,500170,Equity,Active,X ,10,INE537A01013,GTN Industries Limited
GHCL Ltd,GHCL,500171,Equity,Active,A ,10,INE539A01019,GHCL Ltd.
GFL Ltd,GFLLIMITED,500173,Equity,Active,B ,1,INE538A01037,GFL LIMITED
Gujarat Lease Financing Ltd,GLFL,500174,Equity,Active,T ,10,INE540A01017,Gujarat Lease Financing Limited
Harig Crankshafts Ltd,HARCR,500178,Equity,Active,XT,10,INE905C01034,Harig Crankshafts Ltd.
HCL Infosystems Ltd,HCL-INSYS,500179,Equity,Active,B ,2,INE236A01020,HCL Infosystems Ltd
Hero MotoCorp Ltd,HEROMOTOCO,500182,Equity,Active,A ,2,INE158A01026,Hero MotoCorp Limited
HFCL Ltd,HFCL,500183,Equity,Active,A ,1,INE548A01028,HFCL LIMITED
Himadri Speciality Chemical Ltd,HSCL,500184,Equity,Active,A ,1,INE019C01026,Himadri Speciality Chemical Ltd.
Hindustan Construction Company Ltd,HCC,500185,Equity,Active,A ,1,INE549A01026,Hindustan Construction Co. Ltd.
Hindustan Oil Exploration Company Ltd,HINDOILEXP,500186,Equity,Active,B ,10,INE345A01011,Hindustan Oil Exploration Co. Ltd.
Agi Greenpac Ltd,AGI,500187,Equity,Active,A ,2,INE415A01038,AGI GREENPAC LIMITED
Hindustan Zinc Ltd,HINDZINC,500188,Equity,Active,A ,2,INE267A01025,Hindustan Zinc Ltd.
NDL Ventures Ltd,NDLVENTURE,500189,Equity,Active,B ,10,INE353A01023,NDL Ventures Limited
HMT Ltd,HMT,500191,Equity,Active,Z ,10,INE262A01018,HMT Limited
Prag Bosimi Synthetics Ltd,PRAGBOS,500192,Equity,Active,X ,10,INE962B01011,Prag Bosimi Synthetics Ltd.
HLV Ltd,HLVLTD,500193,Equity,Active,B ,2,INE102A01024,HLV LIMITED
IG Petrochemicals Ltd,IGPL,500199,Equity,Active,B ,10,INE204A01010,IG Petrochemicals Ltd
India Glycols Ltd,INDIAGLYCO,500201,Equity,Active,B ,5,INE560A01023,India Glycols Ltd
India Lease Development Ltd,INDLEASE,500202,Equity,Active,X ,10,INE333C01013,India Lease Devl. Ltd.
Margo Finance Ltd,MARGOFIN,500206,Equity,Active,X ,10,INE680B01019,Margo Finance Limited
Indo Rama Synthetics (India) Ltd,INDORAMA,500207,Equity,Active,B ,10,INE156A01020,Indo Rama Synthetics (India) Ltd.
Ingersoll-Rand (India) Ltd,INGERRAND,500210,Equity,Active,A ,10,INE177A01018,Ingersoll-Rand (India) Ltd.
International Travel House Ltd,ITHL,500213,Equity,Active,X ,10,INE262B01016,International Travel House Ltd
Ion Exchange India Ltd,IONEXCHANG,500214,Equity,Active,A ,1,INE570A01022,Ion Exchange (India) Ltd
Sundrop Brands Ltd,SUNDROP,500215,Equity,Active,B ,10,INE209A01019,SUNDROP BRANDS LIMITED
Jain Irrigation Systems Ltd,JISLJALEQS,500219,Equity,Active,A ,2,INE175A01038,Jain Irrigation Systems Ltd.
Jasch Industries Ltd,JASCH,500220,Equity,Active,X ,10,INE711C01028,Jasch Industries Ltd.
Jindal Poly Films Ltd,JINDALPOLY,500227,Equity,Active,B ,10,INE197D01010,Jindal Poly Films Ltd.
JSW Steel Ltd,JSWSTEEL,500228,Equity,Active,A ,1,INE019A01038,JSW Steel Limited
Kajaria Ceramics Ltd,KAJARIACER,500233,Equity,Active,A ,1,INE217B01036,Kajaria Ceramics Ltd
Kakatiya Cement Sugar & Industries Ltd,KAKATCEM,500234,Equity,Active,B ,10,INE437B01014,Kakatiya Cement Sugar & Industries Ltd.
Kalyani Steels Ltd,KSL,500235,Equity,Active,B ,5,INE907A01026,Kalyani Steels Ltd
Kanel Industries Ltd,KANELIND,500236,Equity,Active,XT,10,INE252C01023,Kanel Industries Limited
Whirlpool of India Ltd,WHIRLPOOL,500238,Equity,Active,A ,10,INE716A01013,Whirlpool of India Ltd
